OrderID,Product,TotalPrice
ORD200789,Tablet,3456.4
ORD201122,Monitor,3390.95
ORD200632,Laptop,3390.8
ORD200469,Chair,3384.9
ORD200328,Tablet,3370.2
ORD200107,Printer,3353.75
ORD200326,Laptop,3352.4
ORD201065,Printer,3334.0
ORD201031,Phone,3322.55
ORD200463,Laptop,3313.9
ORD200361,Printer,3299.25
ORD200367,Laptop,3293.85
ORD200837,Chair,3277.75
ORD200527,Chair,3267.35
ORD200768,Tablet,3267.3
ORD200889,Monitor,3253.6
ORD200540,Laptop,3243.25
ORD200802,Chair,3223.2
ORD200957,Monitor,3219.45
ORD200086,Printer,3215.15
ORD200221,Tablet,3196.85
ORD200967,Tablet,3194.6
ORD200296,Desk,3194.0
ORD201079,Phone,3170.0
ORD200364,Phone,3143.7
ORD200764,Laptop,3137.15
ORD200010,Tablet,3129.85
ORD200820,Phone,3119.05
ORD200097,Tablet,3097.6
ORD200241,Chair,3078.35
ORD200450,Monitor,3075.5
ORD200876,Chair,3044.55
ORD200492,Laptop,3032.6
ORD200633,Laptop,3008.6
ORD200731,Printer,2922.3
ORD200916,Printer,2894.15
ORD200511,Monitor,2876.2
ORD200816,Tablet,2873.95
ORD200000,Monitor,2853.1
ORD200578,Monitor,2830.35
ORD200883,Printer,2807.4
ORD201002,Tablet,2799.52
ORD200628,Printer,2793.15
ORD200389,Desk,2790.0
ORD201153,Monitor,2786.84
ORD201142,Phone,2780.4
ORD200222,Chair,2773.44
ORD201087,Laptop,2772.28
ORD200223,Phone,2771.64
ORD201156,Laptop,2763.12
ORD200471,Desk,2756.35
ORD200002,Tablet,2753.4
ORD201076,Laptop,2746.44
ORD200423,Printer,2740.8
ORD200608,Laptop,2715.8
ORD200769,Printer,2714.2
ORD200865,Monitor,2709.48
ORD200032,Tablet,2683.6
ORD200164,Desk,2682.9
ORD200252,Phone,2673.44
ORD200694,Printer,2666.08
ORD200269,Tablet,2654.68
ORD200170,Desk,2651.76
ORD200963,Chair,2651.7
ORD200394,Desk,2647.75
ORD200523,Desk,2631.16
ORD200781,Phone,2621.3
ORD200287,Chair,2620.72
ORD200281,Desk,2619.16
ORD200823,Laptop,2612.52
ORD200683,Desk,2609.92
ORD200340,Laptop,2606.25
ORD200707,Chair,2600.16
ORD200977,Chair,2597.88
ORD201094,Printer,2595.64
ORD201179,Laptop,2592.75
ORD200986,Laptop,2579.84
ORD200587,Monitor,2573.0
ORD200465,Printer,2567.45
ORD200282,Printer,2551.16
ORD200446,Laptop,2547.9
ORD200390,Printer,2543.45
ORD200500,Laptop,2542.95
ORD201144,Desk,2539.7
ORD200607,Printer,2536.2
ORD201097,Monitor,2532.25
ORD200549,Monitor,2519.52
ORD200120,Tablet,2517.36
ORD200872,Chair,2517.36
ORD200118,Printer,2513.55
ORD200558,Phone,2512.48
ORD200925,Monitor,2512.35
ORD200345,Tablet,2506.3
ORD200004,Printer,2504.04
ORD200114,Monitor,2492.4
ORD200598,Desk,2476.75
ORD200567,Chair,2464.7
ORD200091,Laptop,2463.75
ORD200457,Desk,2463.32
ORD200994,Tablet,2462.6
ORD200311,Desk,2446.85
ORD200486,Printer,2445.04
ORD200798,Phone,2441.75
ORD200832,Chair,2428.55
ORD200359,Desk,2426.28
ORD200174,Printer,2403.24
ORD200817,Chair,2392.76
ORD200801,Printer,2382.48
ORD200621,Phone,2380.05
ORD200913,Printer,2379.75
ORD200059,Chair,2373.08
ORD200688,Monitor,2372.88
ORD200805,Laptop,2360.05
ORD200360,Phone,2358.28
ORD200072,Tablet,2357.76
ORD200560,Monitor,2355.4
ORD200267,Chair,2342.55
ORD200490,Chair,2339.05
ORD200266,Chair,2332.28
ORD200342,Monitor,2332.1
ORD200726,Laptop,2332.08
ORD201080,Laptop,2323.7
ORD200965,Laptop,2313.12
ORD200638,Tablet,2313.08
ORD200588,Monitor,2311.28
ORD200838,Desk,2308.32
ORD201124,Chair,2307.48
ORD200034,Chair,2306.08
ORD200615,Monitor,2300.7
ORD200541,Printer,2280.3
ORD200089,Printer,2276.65
ORD200641,Printer,2270.28
ORD200082,Tablet,2260.8
