Product,OrderStatus,OrderCount,TotalValue
Chair,Cancelled,45,48660.98
Chair,Pending,41,48504.7
Chair,Delivered,33,31465.83
Chair,Shipped,31,40350.44
Chair,Returned,28,26638.16
Desk,Pending,38,41390.08
Desk,Cancelled,35,39587.69
Desk,Shipped,33,33424.89
Desk,Returned,32,28831.49
Desk,Delivered,32,24225.78
Laptop,Delivered,40,40714.43
Laptop,Returned,39,39654.3
Laptop,Cancelled,35,43761.72
Laptop,Pending,30,27758.88
Laptop,Shipped,29,40237.23
Monitor,Returned,36,40524.6
Monitor,Cancelled,35,37057.44
Monitor,Shipped,32,30924.82
Monitor,Delivered,31,35999.62
Monitor,Pending,29,31144.93
Phone,Delivered,38,40345.41
Phone,Returned,31,29164.2
Phone,Cancelled,31,28023.26
Phone,Shipped,28,21996.64
Phone,Pending,28,32192.88
Printer,Shipped,42,44397.41
Printer,Returned,38,35939.09
Printer,Pending,37,38546.22
Printer,Cancelled,35,38675.16
Printer,Delivered,29,38054.73
Tablet,Returned,43,42525.86
Tablet,Shipped,40,34828.15
Tablet,Pending,34,36790.46
Tablet,Cancelled,34,40629.96
Tablet,Delivered,28,31794.52
